case_id	generating_model	transform	recovery_engine	fitted_model	fit_status	source_state	target_state	true_rate	estimated_rate	absolute_error	relative_error	tolerance	within_tolerance	interpretation
ard-three-state-weak-identification-review	all-rates-different		bijux	all-rates-different	ok	south	north	0.02	0.0166080534212099	0.00339194657879006	0.169597328939503			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		geiger	all-rates-different	ok	central	north	2	12.5832549308827	10.5832549308827	5.29162746544135			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		geiger	all-rates-different	ok	central	south	0.02	1.43573599590387e-14	0.0199999999999856	0.999999999999282			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		geiger	all-rates-different	ok	north	central	0.02	1.44016938732004	1.42016938732004	71.008469366002			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		geiger	all-rates-different	ok	north	south	1.4	0.589483129820884	0.810516870179116	0.578940621556511			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		geiger	all-rates-different	ok	south	central	2	3.374182312202e-17	2	1			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		geiger	all-rates-different	ok	south	north	0.02	0.0166710279088216	0.0033289720911784	0.16644860455892			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	central	east	1.1						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	central	north	0.9						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	central	south	0.8						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	central	west	1						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	east	central	0.15						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	east	north	0.45	0.00110527869056333	0.448894721309437	0.997543825132082			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	east	south	0.22	4.53999297624849e-05	0.219954600070238	0.999793636682898			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	east	west	0.65	6418.61725949182	6417.96725949182	9873.79578383356			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	north	central	0.18						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	north	east	0.52	4.53999297624849e-05	0.519954600070238	0.999912692442764			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	north	south	0.7	0.704689954885169	0.00468995488516943	0.00669993555024205			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	north	west	0.3	1.69119944780383	1.39119944780383	4.63733149267944			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	south	central	0.12						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	south	east	0.95	4.53999297624849e-05	0.949954600070237	0.99995221060025			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	south	north	0.25	4.53999297624849e-05	0.249954600070238	0.99981840028095			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	south	west	0.4	4.53999297624849e-05	0.399954600070238	0.999886500175594			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	west	central	0.2						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	west	east	0.55	16076.8867936059	16076.3367936059	29229.7032611016			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	west	north	1.05	0.634981395481292	0.415018604518708	0.395255813827341			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		bijux	all-rates-different	ok	west	south	0.35	4.53999297624849e-05	0.349954600070237	0.999870285914964			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	central	east	1.1						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	central	north	0.9						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	central	south	0.8						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	central	west	1						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	east	central	0.15						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	east	north	0.45	0.270502522942764	0.179497477057236	0.398883282349413			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	east	south	0.22	5.80217540240674e-26	0.22	1			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	east	west	0.65	2.13751387687509	1.48751387687509	2.28848288750014			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	north	central	0.18						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	north	east	0.52	1.74364877750168	1.22364877750168	2.35317072596477			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	north	south	0.7	0.68093940112594	0.01906059887406	0.0272294269629428			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	north	west	0.3	2.42901079668825e-15	0.299999999999998	0.999999999999992			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	south	central	0.12						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	south	east	0.95	6.30216878568307e-18	0.95	1			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	south	north	0.25	2.15884766105942e-48	0.25	1			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	south	west	0.4	3.51077069191691e-24	0.4	1			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	west	central	0.2						The fitted transition rate is missing because one or more states were not observed after simulation pruning, so this review row records the omitted estimate explicitly.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	west	east	0.55	5.41916249068166	4.86916249068166	8.85302271033029			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	west	north	1.05	1.3332220678377e-13	1.04999999999987	0.999999999999873			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-five-state-overparameterized-review	all-rates-different		geiger	all-rates-different	ok	west	south	0.35	1.07413794776202e-15	0.349999999999999	0.999999999999997			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
