"family","species","body_mass","gestation","home_range","longevity","social_group_size","sex_dimorphism","mating_system"
"Hylobatidae","Hylobates_pileatus",5542.37,200.16,0.23,432,3.25,"0","Polyandrous"
"Lemuridae","Lemur_catta",2626.48,134.74,0.05,360,16.45,"1","Polygynous"
"Cebidae","Leontopithecus_rosalia",592.52,134,0.26,297.6,4.5,"0","Pair"
"Lepilemuridae","Lepilemur_leucopus",599.99,135.92,0.002,103,1,"1","Polygynous"
"Lepilemuridae","Lepilemur_mustelinus",669.03,133.45,0.00273,144,1,"0","Polygynous"
"Cercopithecidae","Lophocebus_albigena",7418.71,182.64,1.98,392.4,16,"0","Polygynous"
"Lorisidae","Loris_tardigradus",249.22,165.99,0.00706,196.8,1,"0","Polygynous"
"Cercopithecidae","Macaca_fascicularis",4569.32,164.69,0.46,456,27,"0","Polygynous"
"Cercopithecidae","Macaca_fuscata",10114.76,172.99,1.43,396,40.65,"0","Polyandrous"
"Cercopithecidae","Macaca_mulatta",6455.19,166.07,5.91,432,38.5,"1","Polygynous"
"Cercopithecidae","Macaca_nemestrina",7820.78,171,1.75,411.6,22.6,"0","Pair"
"Cercopithecidae","Macaca_radiata",4999.99,161.56,0.88,360,33.5,"1","Polygynous"
"Cercopithecidae","Macaca_silenus",5995.25,172,0.88,480,21,"0","Polygynous"
"Cercopithecidae","Macaca_sinica",4655.99,180.9,0.4,420,20.1,"0","Pair"
"Cercopithecidae","Macaca_sylvanus",11471.53,164.84,2.63,264,18.3,"1","Polygynous"
"Cercopithecidae","Mandrillus_sphinx",16685.06,173.99,26.34,555.96,13.9,"0","Polyandrous"
"Cheirogaleidae","Microcebus_murinus",69,60.34,0.01,186,1,"0","Polygynous"
"Cheirogaleidae","Microcebus_rufus",48.39,59.99,0.01,144,1,"0","Polygynous"
"Cercopithecidae","Miopithecus_talapoin",1248.86,164.38,0.8,370.8,91.2,"0","Polygynous"
"Cheirogaleidae","Mirza_coquereli",326.5,88.58,0.03,183.6,1,"0","Polygynous"
"Cercopithecidae","Nasalis_larvatus",12265.65,165.04,1.4,252,11.25,"0","Polygynous"
"Hylobatidae","Nomascus_concolor",6410.47,205.81,1.05,529.2,4,"0","Polyandrous"
"Galagidae","Otolemur_crassicaudatus",1206.61,131.04,0.06,225.6,3.5,"1","Polygynous"
"Galagidae","Otolemur_garnettii",811.17,132.24,0.12,204,1,"1","Pair"
"Hominidae","Pan_paniscus",35119.95,235.24,27.93,576,85,"0","Polygynous"
"Cercopithecidae","Papio_anubis",17728.56,178.96,4.83,302.4,40,"1","Polygynous"
"Cercopithecidae","Papio_cynocephalus",15822.15,172.99,14.95,540,48.2,"1","Polygynous"
"Cercopithecidae","Papio_hamadryas",14007.08,180,17.37,450,36.9,"1","Pair"
"Cercopithecidae","Papio_ursinus",17729.44,185.92,9.12,540,47,"0","Polyandrous"
"Lorisidae","Perodicticus_potto",1081.81,193,0.11,312,1,"0","Polygynous"
"Lemuridae","Prolemur_simus",2030.41,140,0.62,144,7.5,"1","Polygynous"
"Indriidae","Propithecus_verreauxi",3588.26,149.77,0.03,247.2,6.3,"0","Polygynous"
"Cebidae","Saguinus_fuscicollis",393.99,148,0.2,294,6,"0","Polygynous"
"Cebidae","Saguinus_midas",540.56,138.24,0.05,184.8,5.55,"0","Polygynous"
"Cebidae","Saguinus_oedipus",462.04,166.49,0.06,277.2,7.05,"0","Polygynous"
"Cebidae","Saimiri_sciureus",749.47,164.09,0.68,324,34.85,"1","Pair"
"Cercopithecidae","Semnopithecus_entellus",12679.29,197.7,1.3,300,19,"0","Polyandrous"
"Hylobatidae","Symphalangus_syndactylus",10839,230.66,0.22,456,3.8,"0","Polygynous"
"Tarsiidae","Tarsius_bancanus",114.39,125.84,0.01,144,1,"0","Polygynous"
"Tarsiidae","Tarsius_syrichta",115.91,177.99,0.00713,180,1,"0","Pair"
"Cercopithecidae","Theropithecus_gelada",15964.11,178.64,1.16,336,10,"1","Polygynous"
"Cercopithecidae","Trachypithecus_obscurus",7247.88,146.63,0.18,300,10,"1","Polygynous"
